Date and Time:                Tue Apr 26 17:02:31.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              320
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
312.25363	14667
312.27457	14718
312.2955	14811
312.31641	14834
312.33734	14607
312.35825	14574
312.37918	14533
312.40009	14562
312.42102	14696
312.44193	14671
312.46286	14741
312.48376	14675
312.5047	14589
312.5256	14541
312.54654	14597
312.56744	14582
312.58838	14527
312.60928	14614
312.63022	14583
312.65112	14582
312.67206	14525
312.69296	14502
312.71387	14392
312.7348	14382
312.75571	14437
312.77664	14378
312.79755	14360
312.81845	14285
312.83939	14286
312.86029	14302
312.88123	14395
312.90213	14399
312.92303	14464
312.94397	14562
312.96487	14574
312.98578	14591
313.00671	14608
313.02762	14622
313.04852	14509
313.06943	14457
313.09036	14496
313.11127	14546
313.13217	14524
313.15311	14424
313.17401	14436
313.19492	14517
313.21582	14556
313.23676	14560
313.25766	14576
313.27856	14626
313.29947	14664
313.32037	14633
313.34131	14669
313.36221	14906
313.38312	15023
313.40402	15016
313.42493	14978
313.44586	15079
313.46677	14983
313.48767	15015
313.50858	15026
313.52948	15066
313.55038	15041
313.57129	15058
313.59222	15127
313.61313	15151
313.63403	15103
313.65494	15175
313.67584	15236
313.69675	15325
313.71765	15359
313.73856	15323
313.75946	15350
313.78036	15271
313.80127	15306
313.82217	15325
313.84308	15402
313.86398	15499
313.88489	15619
313.90579	15612
313.9267	15593
313.9476	15598
313.96851	15560
313.98941	15543
314.01031	15499
314.03122	15403
314.05212	15372
314.07303	15208
314.09393	15152
314.11484	15126
314.13574	14988
314.15665	14848
314.17755	14710
314.19846	14633
314.21933	14662
314.24023	14656
314.26114	14750
314.28204	14657
314.30295	14442
314.32385	14349
314.34476	14446
314.36563	14427
314.38654	14310
314.40744	14220
314.42834	14207
314.44925	14208
314.47012	14038
314.49103	13943
314.51193	13764
314.53284	13798
314.55374	13678
314.57462	13525
314.59552	13519
314.61642	13421
314.63733	13440
314.6582	13386
314.67911	13342
314.70001	13309
314.72089	13261
314.74179	13070
314.7627	12954
314.7836	12884
314.80447	12762
314.82538	12724
314.84628	12759
314.86716	12809
314.88806	12783
314.90897	12609
314.92984	12507
314.95074	12425
314.97162	12474
314.99252	12393
315.01343	12388
315.0343	12370
315.05521	12325
315.07608	12270
315.09698	12237
315.11786	12290
315.13876	12304
315.15967	12323
315.18054	12284
315.20145	12257
315.22232	12192
315.24323	12167
315.2641	12079
315.285	12178
315.30588	12142
315.32678	12163
315.34766	12160
315.36856	12145
315.38943	12236
315.41034	12155
315.43121	12247
315.45212	12247
315.47299	12286
315.49387	12279
315.51477	12341
315.53564	12344
315.55655	12384
315.57742	12333
315.5983	12292
315.6192	12318
315.64008	12298
315.66098	12395
315.68185	12451
315.70273	12569
315.72363	12566
315.74451	12633
315.76538	12651
315.78629	12654
315.80716	12698
315.82803	12679
315.84894	12742
315.86981	12776
315.89069	12842
315.91156	12855
315.93246	12843
315.95334	12903
315.97421	12972
315.99509	13009
316.01599	13042
316.03687	13129
316.05774	13136
316.07861	13209
316.09952	13183
316.12039	13157
316.14127	13157
316.16214	13116
316.18301	13000
316.20389	13030
316.22479	13074
316.24567	13023
316.26654	13125
316.28741	13221
316.30829	13207
316.32916	13282
316.35004	13268
316.37094	13314
316.39182	13350
316.41269	13376
316.43356	13489
316.45444	13636
316.47531	13680
316.49619	13619
316.51706	13592
316.53793	13716
316.55881	13777
316.57968	13868
316.60056	13841
316.62143	13910
316.6423	13898
316.66318	13862
316.68405	13822
316.70493	13738
316.7258	13798
316.74667	13844
316.76755	13905
316.78842	13985
316.8093	14057
316.83017	14056
316.85104	14064
316.87192	14127
316.89279	14136
316.91367	14100
316.93454	14091
316.95538	14258
316.97626	14360
316.99713	14285
317.01801	14267
317.03888	14308
317.05975	14253
317.08063	14220
317.1015	14316
317.12234	14367
317.14322	14357
317.16409	14305
317.18497	14304
317.20584	14343
317.22668	14402
317.24756	14529
317.26843	14560
317.28931	14688
317.31015	14616
317.33102	14614
317.3519	14605
317.37277	14687
317.39362	14792
317.41449	14885
317.43536	14908
317.45624	15092
317.47708	15263
317.49796	15252
317.51883	15195
317.53967	15151
317.56055	15126
317.58142	15264
317.60226	15368
317.62314	15565
317.64401	15723
317.66486	15830
317.68573	15909
317.7066	16060
317.72745	16130
317.74832	16278
317.76917	16392
317.79004	16450
317.81091	16662
317.83176	16712
317.85263	16781
317.87347	16891
317.89435	16954
317.91519	17121
317.93607	17230
317.95691	17559
317.97778	17824
317.99863	17839
318.0195	17945
318.04034	17994
318.06122	18250
318.08206	18552
318.10294	18799
318.12378	19020
318.14465	19228
318.1655	19358
318.18637	19485
318.20721	19639
318.22806	19707
318.24893	19847
318.26978	20028
318.29065	20255
318.31149	20316
318.33234	20419
318.35321	20558
318.37405	20655
318.39493	20830
318.41577	20850
318.43661	20841
318.45749	20924
318.47833	20972
318.49918	20972
318.52005	21130
318.54089	21181
318.56174	21153
318.58258	21378
318.60345	21622
318.6243	21707
318.64514	21699
318.66602	21700
318.68686	21713
318.7077	21637
318.72855	21609
318.74939	21540
318.77026	21505
318.79111	21435
318.81195	21187
318.83279	21014
318.85364	20911
318.87451	20848
318.89536	20670
318.9162	20454
318.93704	20345
318.95789	20144
318.97873	19960
318.9996	19832
319.02045	19714
319.04129	19643
319.06213	19609
319.08298	19399
319.10382	19215
319.12466	18986
319.14551	18813
319.16635	18561
319.18719	18363
319.20807	18255
319.22891	17966
319.24976	17845
319.2706	17699
319.29144	17497
319.31229	17311
319.33313	17154
319.35397	16995
319.37482	16964
319.39566	16764
319.4165	16669
319.43735	16451
319.45819	16233
319.47903	16042
319.49985	15859
319.52069	15858
319.54153	15829
319.56238	15760
319.58322	15710
319.60406	15550
319.62491	15458
319.64575	15322
319.6666	15200
319.68744	15053
319.70825	14966
319.7291	14832
319.74994	14627
319.77078	14562
319.79163	14469
319.81247	14319
319.83331	14208
319.85413	14125
319.87497	14165
319.89581	14142
319.91666	14044
319.9375	13993
319.95831	13930
319.97916	13699
320	13695
320.02084	13821
320.04166	13783
320.0625	13794
320.08334	13720
320.10416	13751
320.125	13786
320.14584	13702
320.16669	13725
320.1875	13764
320.20834	13790
320.22919	13648
320.25	13702
320.27084	13654
320.29169	13695
320.3125	13763
320.33334	13924
320.35416	13952
320.375	14040
320.39584	13966
320.41666	13904
320.4375	13890
320.45831	13976
320.47916	14071
320.5	14135
320.52081	14227
320.54166	14346
320.56247	14331
320.58331	14247
320.60413	14373
320.62497	14466
320.64578	14512
320.66663	14604
320.68744	14764
320.70828	14801
320.7291	14807
320.74994	14857
320.77075	15096
320.7916	15200
320.81241	15231
320.83325	15329
320.85406	15417
320.87488	15519
320.89572	15522
320.91653	15610
320.93738	15681
320.95819	15886
320.979	16020
320.99985	15948
321.02066	15984
321.04147	16127
321.06232	16309
321.08313	16342
321.10397	16453
321.12479	16517
321.1456	16631
321.16641	16605
321.18726	16670
321.20807	16805
321.22888	16892
321.24973	16869
321.27054	16905
321.29135	16838
321.31216	16854
321.33301	16983
321.35382	17212
321.37463	17222
321.39545	17120
321.41629	17066
321.4371	17205
321.45792	17252
321.47873	17341
321.49954	17285
321.52039	17286
321.5412	17354
321.56201	17324
321.58282	17232
321.60364	17118
321.62445	17136
321.64526	17093
321.66611	17078
321.68692	17238
321.70773	17285
321.72855	17204
321.74936	17228
321.77017	17183
321.79099	17214
321.8118	17106
321.83261	16968
321.85342	16826
321.87424	16761
321.89505	16689
321.91586	16760
321.93668	16928
321.95749	16969
321.9783	16917
321.99911	16840
322.01993	16751
322.04074	16687
322.06155	16690
322.08237	16701
322.10318	16857
322.12399	16955
322.14481	16977
322.16562	16925
322.18643	17018
322.20724	17079
322.22806	17059
322.24887	17092
322.26968	17081
322.29047	17002
322.31128	17053
322.33209	16947
322.35291	16857
322.37372	16883
322.39453	16923
322.41531	16857
322.43613	16959
322.45694	17074
322.47775	17116
322.49857	17075
322.51938	17098
322.54016	17173
322.56097	17278
322.58179	17253
322.6026	17268
322.62338	17373
322.6442	17321
322.66501	17352
322.68582	17321
322.7066	17387
322.72742	17272
322.74823	17224
322.76901	17206
322.78983	17313
322.81064	17268
322.83142	17280
322.85223	17266
322.87305	17235
322.89383	17364
322.91464	17398
