Date and Time:                Thu Feb 2 16:57:25.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              283
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
278.76733	310
278.78842	312
278.80951	304
278.8306	311
278.85165	312
278.87274	312
278.89383	310
278.91489	314
278.93597	308
278.95706	311
278.97815	307
278.99921	315
279.02029	303
279.04138	314
279.06244	307
279.08353	306
279.10461	309
279.12567	312
279.14676	317
279.16782	311
279.1889	312
279.20999	318
279.23105	301
279.25214	308
279.27319	311
279.29428	313
279.31537	311
279.33643	308
279.35751	313
279.37857	310
279.39966	309
279.42072	311
279.4418	312
279.46286	311
279.48395	308
279.505	316
279.52609	307
279.54715	315
279.56824	322
279.58929	313
279.61038	318
279.63144	316
279.65253	320
279.67358	312
279.69467	320
279.71573	313
279.73682	311
279.75787	319
279.77893	312
279.80002	313
279.82108	312
279.84216	317
279.86322	315
279.88428	312
279.90536	321
279.92642	319
279.94751	315
279.96857	317
279.98962	320
280.01071	319
280.03177	320
280.05283	315
280.07391	314
280.09497	316
280.11603	313
280.13708	318
280.15817	318
280.17923	319
280.20029	321
280.22137	318
280.24243	318
280.26349	324
280.28455	323
280.3056	318
280.32669	313
280.34775	318
280.3688	323
280.38986	324
280.41095	314
280.43201	321
280.45306	325
280.47412	322
280.49518	319
280.51624	315
280.53732	323
280.55838	328
280.57944	324
280.60049	318
280.62155	313
280.64261	322
280.66367	326
280.68472	321
280.70581	320
280.72687	324
280.74792	319
280.76898	318
280.79004	321
280.8111	324
280.83215	329
280.85321	325
280.87427	327
280.89532	320
280.91638	317
280.93744	327
280.9585	322
280.97955	332
281.00061	324
281.02167	328
281.04272	326
281.06378	327
281.08484	330
281.1059	329
281.12695	327
281.14801	326
281.16907	327
281.19012	330
281.21118	329
281.23224	336
281.25327	330
281.27432	333
281.29538	334
281.31644	340
281.33749	334
281.35855	344
281.37961	346
281.40067	350
281.42169	350
281.44275	353
