Date and Time:                Sat Nov 11 15:11:50.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.02
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              300
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
294.44144	10723
294.46243	10706
294.48343	10751
294.50446	10743
294.52545	10811
294.54645	10779
294.56747	10831
294.58847	10880
294.60947	10856
294.63046	10885
294.65149	10874
294.67249	10886
294.69348	10925
294.71448	10873
294.73547	10902
294.7565	10918
294.7775	11017
294.79849	10955
294.81949	10996
294.84048	10993
294.86151	11048
294.88251	11010
294.9035	11037
294.9245	11003
294.9455	11086
294.96649	11051
294.98752	11030
295.00851	11082
295.02951	11064
295.05051	11094
295.0715	11090
295.0925	11137
295.11349	11116
295.13449	11170
295.15549	11191
295.17648	11220
295.19748	11217
295.21848	11211
295.23947	11276
295.26047	11286
295.28149	11290
295.30249	11264
295.32349	11287
295.34448	11243
295.36548	11289
295.38647	11355
295.40747	11351
295.42844	11347
295.44943	11394
295.47043	11367
295.49142	11406
295.51242	11437
295.53342	11460
295.55441	11522
295.57541	11491
295.59641	11506
295.6174	11488
295.6384	11463
295.65939	11533
295.68039	11483
295.70135	11524
295.72235	11583
295.74335	11547
295.76434	11585
295.78534	11607
295.80634	11658
295.82733	11591
295.8483	11626
295.86929	11662
295.89029	11690
295.91129	11653
295.93228	11719
295.95325	11749
295.97424	11740
295.99524	11753
296.01624	11778
296.03723	11847
296.0582	11807
296.07919	11756
296.10019	11766
296.12115	11774
296.14215	11818
296.16315	11756
296.18414	11807
296.20511	11844
296.2261	11857
296.2471	11873
296.26807	11956
296.28906	11904
296.31006	11940
296.33102	11873
296.35202	11940
296.37302	11881
296.39398	11870
296.41498	11968
296.43597	11981
296.45694	12012
296.47794	12067
296.4989	12047
296.5199	12091
296.54089	12073
296.56186	12066
296.58286	12085
296.60382	12078
296.62482	12120
296.64578	12090
296.66678	12084
296.68774	12127
296.70874	12137
296.72971	12154
296.7507	12121
296.77167	12168
296.79266	12205
