# wl center%tx left%tx right%tx top%tx bottom%tx
 383.18388 -0.00016  0.00063 -0.00079 -0.00238 -0.00175
 383.20443  0.00112  0.00207 -0.00159 -0.00064 -0.00048
 383.22495  0.00190  0.00127  0.00286  0.00428  0.00079
 383.24551 -0.00080 -0.00064 -0.00144 -0.00032 -0.00239
 383.26604  0.00079  0.00143  0.00174 -0.00016 -0.00063
 383.28660  0.00048  0.00192  0.00112  0.00112 -0.00032
 383.30713  0.00144  0.00096  0.00080 -0.00160 -0.00048
 383.32768  0.00176  0.00224  0.00032  0.00160 -0.00096
 383.34820 -0.00064  0.00016  0.00016 -0.00145 -0.00112
 383.36876  0.00335  0.00128 -0.00016 -0.00048  0.00191
 383.38929  0.00000 -0.00160  0.00160 -0.00096 -0.00128
 383.40985 -0.00111 -0.00016 -0.00095 -0.00048 -0.00127
 383.43037 -0.00110  0.00000 -0.00095  0.00047  0.00095
 383.45093  0.00079  0.00189  0.00095  0.00047 -0.00032
 383.47146  0.00189  0.00157  0.00031  0.00031  0.00094
 383.49198 -0.00064  0.00032 -0.00016  0.00000  0.00048
 383.51254  0.00000  0.00127  0.00048 -0.00016 -0.00032
 383.53306 -0.00254 -0.00095 -0.00191 -0.00111 -0.00302
 383.55362 -0.00063  0.00111  0.00142  0.00063 -0.00079
 383.57415 -0.00079  0.00283  0.00016  0.00047  0.00079
 383.59468  0.00174  0.00016  0.00095  0.00079  0.00079
 383.61524 -0.00094 -0.00031 -0.00126 -0.00016  0.00126
 383.63575  0.00016  0.00064 -0.00016 -0.00159 -0.00191
 383.65628 -0.00317 -0.00063 -0.00127 -0.00270 -0.00159
 383.67684 -0.00095 -0.00032  0.00079 -0.00191 -0.00127
 383.69737  0.00079  0.00079 -0.00016  0.00079  0.00032
 383.71790  0.00282  0.00031  0.00251  0.00110  0.00031
 383.73845 -0.00205 -0.00299  0.00016 -0.00126  0.00016
 383.75897 -0.00016 -0.00063  0.00031  0.00016 -0.00031
 383.77950 -0.00032 -0.00158 -0.00079  0.00047  0.00016
 383.80003 -0.00032  0.00079  0.00095  0.00000  0.00000
 383.82059 -0.00111 -0.00048 -0.00111 -0.00238 -0.00079
 383.84111 -0.00064 -0.00128 -0.00144 -0.00064 -0.00287
 383.86164  0.00000 -0.00189  0.00016 -0.00032 -0.00237
 383.88220  0.00095 -0.00048  0.00063 -0.00079  0.00048
