Date and Time:                Thu Apr 7 15:59:48.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              279
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
280.02869	38241
280.03827	38026
280.04788	37607
280.0575	37680
280.06708	37587
280.07669	37199
280.0863	36739
280.09592	35888
280.1055	35128
280.11511	34478
280.12473	34476
280.13431	34693
280.14392	34536
280.15353	33870
280.16312	32827
280.17273	31562
280.18234	30693
280.19193	30221
280.20154	30113
280.21115	29917
280.22073	28994
280.23035	27398
280.23996	25763
280.24954	24278
280.25916	23220
280.26874	22509
280.27835	22163
280.28796	21344
280.29755	19959
280.30716	18247
280.31674	16650
280.32635	15429
280.33594	14518
280.34555	13999
280.35516	13425
280.36475	12559
280.37436	11333
280.38394	10115
280.39355	9091
280.40314	8452
280.41275	7990
280.42233	7651
280.43195	7237
280.44153	6698
280.45114	5973
280.46072	5319
280.47034	4873
280.47992	4536
280.48953	4396
280.49911	4207
280.50873	3944
280.51831	3588
280.52792	3242
280.53751	2938
280.54712	2790
280.5567	2678
280.56628	2585
280.5759	2502
280.58548	2343
280.59509	2168
280.60468	1947
280.61429	1849
280.62387	1747
280.63345	1714
280.64307	1681
280.65265	1594
280.66226	1508
280.67184	1400
280.68143	1306
280.69104	1266
280.70062	1218
280.71021	1195
280.71982	1181
280.7294	1133
280.73898	1058
280.7486	1019
280.75818	956
280.76776	931
280.77737	906
280.78696	917
280.79654	894
280.80615	864
280.81573	819
280.82532	766
280.83493	759
280.84451	719
280.8541	734
280.86368	720
280.87329	700
280.88287	681
280.89246	659
280.90204	642
280.91165	619
280.92123	614
280.93082	604
280.9404	590
280.95001	595
280.95959	570
280.96918	557
280.97876	547
280.98834	546
280.99796	533
281.00754	535
281.01712	528
281.0267	517
281.03629	505
281.0459	491
281.05548	488
281.06506	483
281.07465	475
281.08423	483
281.09381	485
281.10339	463
281.11301	447
281.12259	445
281.13217	438
281.14175	435
281.15134	442
281.16092	444
281.1705	447
281.18008	437
281.18967	421
281.19925	421
281.20886	421
281.21844	419
281.22803	416
281.23761	423
281.24719	416
281.25677	401
281.26636	402
281.27594	392
281.28552	404
281.2951	396
281.30469	396
281.31427	393
281.32385	392
281.33344	394
281.34302	385
281.3526	370
281.36218	376
281.37177	387
281.38135	381
281.39093	380
281.40051	382
281.4101	379
281.41968	376
281.42926	371
281.43884	369
281.44843	367
281.45801	372
281.46756	366
281.47714	358
281.48672	366
281.49631	367
281.50589	362
281.51547	364
281.52505	368
281.53464	365
281.54422	353
281.5538	360
281.56335	354
281.57294	347
281.58252	357
281.5921	356
281.60168	356
281.61127	347
281.62085	356
281.6304	351
281.63998	343
281.64957	346
281.65915	352
281.66873	349
281.67828	349
281.68787	353
281.69745	346
281.70703	347
281.71661	340
281.72617	334
281.73575	348
281.74533	346
281.75491	340
281.76447	350
281.77405	339
281.78363	334
281.79321	337
281.80276	340
281.81235	336
281.82193	342
281.83151	336
281.84106	336
281.85065	335
281.86023	342
281.86978	331
281.87936	333
281.88895	330
281.8985	332
281.90808	344
281.91766	336
281.92722	337
281.9368	333
281.94638	326
281.95593	334
281.96552	336
281.9751	336
281.98465	332
281.99423	331
282.00381	330
282.01337	326
282.02295	330
282.0325	328
282.04208	327
282.05167	326
282.06122	325
282.0708	328
282.08035	329
282.08994	333
282.09949	326
282.10907	325
282.11865	328
282.1282	330
282.13779	324
282.14734	326
282.15692	328
282.16647	329
282.17606	333
282.18561	329
282.19519	336
282.20474	320
282.21432	324
282.22388	324
282.23346	319
282.24301	324
282.25259	323
282.26215	330
282.27173	323
282.28128	325
282.29086	328
282.30042	323
282.30997	324
282.31955	326
282.3291	319
282.33868	328
282.34824	323
282.35782	320
282.36737	321
282.37692	324
282.38651	320
282.39606	323
282.40564	317
282.41519	322
282.42474	321
282.43433	323
282.44388	325
282.45343	327
282.46301	315
282.47256	323
282.48212	317
282.4917	318
282.50125	318
282.5108	317
282.52039	323
282.52994	322
282.53949	322
282.54907	316
282.55862	323
282.56818	317
282.57776	318
282.58731	320
282.59686	324
282.60641	321
282.616	310
282.62555	323
282.6351	323
282.64465	314
282.65424	317
282.66379	313
282.67334	320
282.68289	321
282.69247	320
282.70203	310
282.71158	318
282.72113	320
282.73068	322
282.74026	316
282.74982	314
282.75937	313
282.76892	314
282.77847	319
282.78802	323
282.79761	314
282.80716	316
282.81671	313
282.82626	316
282.83582	307
282.84537	311
282.85492	325
282.86447	314
282.87405	317
282.88361	315
282.89316	308
282.90271	321
282.91226	318
282.92181	320
282.93137	315
282.94092	317
282.95047	318
282.96002	315
282.96957	315
282.97913	317
282.98871	312
282.99826	315
283.00781	312
283.01736	314
283.02692	318
283.03647	320
283.04602	318
283.05557	322
283.06512	315
283.07468	307
283.08423	316
283.09378	317
283.10333	312
283.11288	318
283.12244	314
283.13199	316
283.14151	318
283.15106	320
283.16061	314
283.17017	316
283.17972	319
283.18927	314
283.19882	316
283.20837	309
283.21793	317
283.22748	313
283.23703	314
283.24658	320
283.25613	315
283.26566	317
283.27521	313
283.28476	310
283.29431	313
283.30386	313
283.31342	311
283.32297	312
283.33249	321
283.34204	308
283.35159	313
283.36115	313
283.3707	309
283.38025	316
283.38977	305
283.39932	316
283.40887	313
283.41843	305
283.42798	308
283.4375	310
283.44705	314
283.4566	315
283.46616	315
283.47568	312
283.48523	307
283.49478	311
283.50433	319
283.51385	309
283.52341	309
283.53296	305
283.54251	316
283.55203	313
283.56158	314
283.57114	315
283.58066	314
283.59021	311
283.59976	315
283.60928	315
283.61884	309
283.62839	314
283.63791	310
283.64746	313
283.65701	310
283.66653	307
283.67609	313
283.68564	311
283.69516	313
283.70471	314
283.71426	312
283.72379	314
283.73334	309
283.74286	313
283.75241	312
283.76196	308
283.77148	305
283.78104	314
283.79056	315
283.80011	313
283.80963	313
283.81918	307
283.82874	307
283.83826	309
283.84781	314
283.85733	317
283.86688	311
283.8764	313
283.88596	317
283.89548	320
283.90503	312
283.91455	306
283.9241	314
283.93362	309
283.94318	305
283.9527	314
283.96225	314
283.97177	314
283.98132	314
283.99084	311
284.00037	309
284.00992	306
284.01944	312
284.02899	304
284.03851	314
284.04807	315
284.05759	309
284.06711	311
284.07666	317
284.08618	317
284.09573	318
284.10526	316
284.11478	309
284.12433	314
284.13385	311
284.14337	307
284.15292	312
284.16245	315
284.172	313
284.18152	312
284.19104	316
284.20059	314
284.21011	316
284.21964	307
284.22916	313
284.23871	313
284.24823	308
284.25775	312
284.2673	320
284.27682	310
284.28635	304
284.2959	315
284.30542	303
284.31494	311
284.32446	307
284.33401	317
284.34354	308
284.35306	311
284.36258	312
284.3721	311
284.38165	319
284.39117	321
284.4007	310
284.41022	309
284.41977	315
284.42929	314
284.43881	310
284.44833	311
284.45786	312
284.46738	306
284.47693	302
284.48645	314
284.49597	314
284.50549	318
284.51501	309
284.52454	313
284.53406	313
284.54361	314
284.55313	307
284.56265	312
284.57217	313
284.5817	311
284.59122	311
284.60074	307
284.61026	316
284.61978	311
284.6293	315
284.63885	312
284.64838	306
284.6579	310
284.66742	314
284.67694	313
284.68646	309
284.69598	304
284.70551	313
284.71503	313
284.72455	310
284.73407	313
284.74359	311
284.75311	306
284.76263	305
284.77216	303
284.78168	313
284.7912	302
284.80072	306
284.81024	308
284.81976	311
284.82928	310
284.83881	308
284.84833	310
284.85782	309
284.86734	310
284.87686	308
284.88638	315
284.8959	308
284.90543	306
284.91495	309
284.92447	314
284.93399	313
284.94351	317
284.953	310
284.96252	311
284.97205	309
284.98157	311
284.99109	314
285.00061	309
285.01013	307
285.01962	307
285.02914	310
285.03867	307
285.04819	310
285.05771	316
285.06723	307
285.07672	310
285.08624	312
285.09576	307
285.10529	306
285.11481	304
285.1243	313
285.13382	311
285.14334	311
285.15286	311
285.16235	310
285.17188	307
285.1814	305
285.19092	308
285.20041	302
285.20993	305
285.21945	312
285.22894	316
285.23846	307
285.24799	312
285.25751	313
285.267	316
285.27652	315
285.28604	306
285.29553	310
285.30505	305
285.31458	306
285.32407	313
285.33359	312
285.34311	309
285.3526	313
285.36212	312
285.37161	306
285.38113	313
285.39066	309
285.40015	310
285.40967	311
285.41916	312
285.42868	312
285.4382	307
285.44769	308
285.45721	310
285.46671	316
285.47623	309
285.48572	308
285.49524	310
285.50476	310
285.51425	310
285.52377	318
285.53326	313
285.54279	309
285.55228	309
285.5618	309
285.57129	310
285.58081	311
285.5903	307
285.59982	309
285.60931	306
285.61884	314
285.62833	306
285.63785	308
285.64734	312
285.65683	302
285.66635	309
285.67584	310
285.68536	308
285.69485	308
285.70438	306
285.71387	307
285.72336	312
285.73288	304
285.74237	307
285.75189	314
285.76138	314
285.77087	312
285.7804	306
285.78989	309
285.79941	314
285.8089	308
285.81839	309
285.82791	308
285.8374	305
285.84689	309
285.85641	313
285.86591	310
