Date and Time:                Mon Apr 25 12:46:45.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.12
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              397
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
395.3107	41110
395.31931	40734
395.32791	41177
395.33649	40989
395.34509	40997
395.35367	40874
395.36227	40947
395.37088	40927
395.37946	40683
395.38806	40870
395.39664	40913
395.40524	40841
395.41382	40557
395.42242	40429
395.431	40651
395.43961	40166
395.44821	40391
395.45679	40310
395.46539	40417
395.47397	40351
395.48257	40392
395.49115	40417
395.49976	40401
395.50833	40294
395.51694	40379
395.52551	40307
395.53409	40559
395.54269	40587
395.55127	40526
395.55988	40478
395.56845	40461
395.57706	40641
395.58563	40723
395.59424	40891
395.60281	40615
395.61139	40697
395.62	40598
395.62857	40677
395.63718	40661
395.64575	40423
395.65433	40562
395.66293	40782
395.67151	40480
395.68008	40657
395.68869	40718
395.69727	41119
395.70584	40952
395.71445	41009
395.72302	40958
395.7316	41040
395.7402	40758
395.74878	41028
395.75735	41045
395.76596	41136
395.77454	41271
395.78311	40910
395.79169	41250
395.80029	41117
395.80887	41156
395.81744	41144
395.82602	41372
395.83463	41241
395.8432	41219
395.85178	41161
395.86035	41207
395.86893	41318
395.87753	41168
395.88611	41356
395.89468	41313
395.90326	41451
395.91183	41132
395.92044	41221
395.92902	41359
395.93759	41342
395.94617	41268
395.95474	41676
395.96332	41726
395.97192	41458
395.9805	41458
395.98907	41136
395.99765	41048
396.00623	41211
396.0148	41150
396.02338	41132
396.03195	41453
396.04053	41343
396.0491	41287
396.05768	41323
396.06628	41604
396.07486	41436
396.08344	41453
396.09201	41413
396.10059	41511
396.10916	41596
396.11774	41314
396.12631	41379
396.13489	41574
396.14346	41162
396.15204	41240
396.16061	41506
396.16919	41797
396.17776	41834
396.18634	41581
396.19492	41527
396.20349	41680
396.21207	41810
396.22061	41707
396.22919	41837
396.23776	41870
396.24634	41992
396.25491	41810
396.26349	42056
396.27206	41713
396.28064	41862
396.28922	41762
396.29779	41846
396.30637	41625
396.31491	41676
396.32349	41559
396.33206	41723
396.34064	41711
396.34921	41717
396.35779	41719
396.36636	41732
396.37491	41655
396.38348	41540
396.39206	41448
396.40063	41281
396.40921	41591
396.41776	41568
396.42633	41706
396.43491	41794
396.44348	41661
396.45203	41972
396.4606	41674
396.46918	41692
396.47775	41499
396.4863	41740
396.49487	41486
396.50345	41671
396.51202	41363
396.52057	41349
396.52914	41512
396.53772	41566
396.54626	41274
396.55484	41356
396.56342	41378
396.57199	41270
396.58054	41279
396.58911	41286
396.59766	41538
396.60623	41492
396.61481	41668
396.62335	41712
396.63193	41711
396.6405	41581
396.64905	41348
396.65762	41458
396.66617	41534
396.67474	41552
396.68332	41552
396.69186	41324
396.70044	41569
396.70898	41578
396.71756	41528
396.72614	41461
396.73468	41721
396.74326	41692
396.7518	41638
396.76038	41687
396.76892	41493
396.7775	41700
396.78604	41483
396.79462	41647
396.80316	41857
396.81174	41843
396.82028	41932
396.82886	42025
396.8374	42088
396.84598	42069
396.85452	41931
396.8631	42089
396.87164	41819
396.88019	42183
396.88876	41815
396.89731	41984
396.90588	42001
396.91443	41855
396.92297	41621
396.93155	41720
396.94009	41739
396.94867	41672
396.95721	41844
396.96576	41728
396.97433	41743
396.98288	41940
396.99142	42039
397	41064
397.00854	41212
397.01709	42388
397.02567	41909
397.03421	42044
397.04276	42011
397.05133	42157
397.05988	42061
397.06842	41961
397.077	42014
397.08554	42121
397.09409	41859
397.10263	41950
397.11121	41858
397.11975	41970
397.1283	41819
397.13684	42108
397.14542	42156
397.15396	42160
397.16251	42000
397.17105	42101
397.17963	42165
397.18817	42155
397.19672	42255
397.20526	42272
397.21381	42228
397.22235	42348
397.23093	42163
397.23947	42231
397.24802	42059
397.25656	41899
397.26511	42327
397.27365	41961
397.28223	42167
397.29077	42255
397.29932	42187
397.30786	42015
397.31641	42368
397.32495	42069
397.3335	42530
397.34204	42401
397.35059	42061
397.35913	42478
397.36768	42277
397.37622	42297
397.3848	42280
397.39334	42430
397.40189	42659
397.41043	42544
397.41898	42692
397.42752	42387
397.43607	42557
397.44461	42645
397.45316	42363
397.4617	42522
397.47025	42838
397.47879	42461
397.48734	42489
397.49588	42470
397.50439	42468
397.51294	42446
397.52148	42088
397.53003	42308
397.53857	42258
397.54712	42253
397.55566	42485
397.56421	42422
397.57275	42418
397.5813	42603
397.58984	42662
397.59839	42613
397.6069	42705
397.61545	42530
397.62399	42495
397.63254	42795
397.64108	42617
397.64963	42495
397.65817	42418
397.66669	42295
397.67523	42365
397.68378	42128
397.69232	41996
397.70087	42558
397.70938	42158
397.71793	42243
397.72647	42530
397.73502	42288
397.74356	42439
397.75208	42121
397.76062	41927
397.76917	42414
397.77771	41779
397.78622	41955
397.79477	42093
397.80331	42115
397.81183	42105
397.82037	41920
397.82892	41916
397.83746	42094
397.84598	42068
397.85452	41894
397.86307	42075
397.87158	42070
397.88013	42030
397.88867	42209
397.89719	42071
397.90573	42422
397.91425	42238
397.92279	42415
397.93134	42250
397.93985	42376
397.94839	42130
397.95694	42012
397.96545	42125
397.974	42173
397.98251	42382
397.99106	42180
397.99957	42290
398.00812	42134
398.01666	42250
398.02518	42211
398.03372	42473
398.04224	42470
398.05078	42376
398.0593	42501
398.06784	42234
398.07635	42512
398.0849	42577
398.09341	42431
398.10196	42374
398.11047	42517
398.11902	42504
398.12753	42265
398.13608	42471
398.14459	42626
398.15314	42411
398.16165	42743
398.17017	42273
398.17871	42677
398.18723	42285
398.19577	42363
398.20428	42704
398.21283	42283
398.22134	42545
398.22986	42462
398.2384	42298
398.24692	42480
398.25543	42431
398.26398	42633
398.27249	42311
398.28104	42621
398.28955	42939
398.29807	42330
398.30661	42437
398.31512	42325
398.32364	42356
398.33215	42220
398.3407	42250
398.34921	42148
398.35773	42359
398.36627	42096
398.37479	42227
398.3833	42220
398.39182	42336
398.40036	42335
398.40887	42410
398.41739	42561
398.4259	42361
398.43445	42443
398.44296	42031
398.45148	42092
398.45999	42170
398.46851	41891
398.47705	42149
398.48557	42288
398.49408	42495
398.50259	42477
398.51111	42266
398.51965	42159
398.52817	42514
398.53668	42126
398.5452	42304
398.55371	42594
398.56223	42520
398.57074	42765
398.57925	42385
398.5878	42640
398.59631	42388
398.60483	42299
398.61334	42367
398.62186	42699
