Date and Time:                Thu Sep 8 17:00:23.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.25
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              277
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
272.95111	13845
272.97223	13920
272.99332	13918
273.01443	13885
273.03555	13899
273.05664	13866
273.07776	13874
273.09888	13850
273.11996	13871
273.14108	13918
273.1622	14025
273.18329	14156
273.20441	14106
273.22549	14040
273.24661	14159
273.26773	14067
273.28882	14041
273.30994	14078
273.33102	14077
273.35214	14053
273.37323	14062
273.39435	14039
273.41547	13989
273.43655	13904
273.45767	13972
273.47876	14004
273.49988	14203
273.52097	14257
273.54208	14228
273.56317	14173
273.58429	14073
273.60538	14201
273.6265	14281
273.64758	14398
273.6687	14462
273.68979	14498
273.71091	14523
273.73199	14404
273.75308	14523
273.7742	14543
273.79529	14590
273.81641	14624
273.83749	14662
273.85858	14613
273.8797	14550
273.90079	14488
273.92191	14581
273.94299	14553
273.96408	14562
273.9852	14490
274.00629	14531
274.02737	14586
274.04849	14534
274.06958	14631
274.09067	14664
274.11179	14734
274.13287	14756
274.15396	14815
274.17508	14940
274.19617	14924
274.21725	14931
274.23834	15026
274.25946	14986
274.28055	14938
274.30164	14892
274.32272	14877
274.34384	14952
274.36493	14900
274.38602	14812
274.4071	14991
274.42822	14967
274.44931	14945
274.4704	14956
274.49149	14843
274.51257	14840
274.53366	14836
274.55478	14864
274.57587	14910
274.59695	14875
274.61804	14843
274.63913	14790
274.66022	14787
274.6813	15021
274.70242	15070
274.72351	14996
274.7446	15017
274.76569	15062
274.78677	15030
274.80786	14997
274.82895	15064
274.85004	15127
274.87112	15294
274.89221	15209
274.9133	15228
274.93439	15306
274.95547	15422
274.97656	15472
274.99765	15461
275.01874	15483
275.03983	15468
275.06091	15551
275.082	15442
275.10309	15564
275.12418	15539
275.14526	15574
275.16635	15442
275.18744	15428
275.20853	15355
275.22961	15428
275.2507	15526
275.27179	15634
275.29288	15540
275.31396	15454
275.33502	15561
275.35611	15601
275.3772	15586
275.39828	15591
275.41937	15775
275.44046	15709
275.46155	15720
275.4826	15627
275.50369	15797
275.52478	15702
275.54587	15696
275.56696	15637
275.58804	15617
275.6091	15766
275.63019	15816
275.65128	15736
275.67236	15696
275.69345	15658
275.71451	15595
275.7356	15529
275.75668	15544
275.77777	15501
275.79883	15527
275.81992	15454
275.841	15564
275.86206	15578
275.88315	15556
275.90424	15581
275.92529	15582
275.94638	15557
275.96747	15537
275.98853	15604
276.00961	15738
276.0307	15757
276.05176	15751
276.07285	15717
276.09393	15739
276.11499	15865
276.13608	15951
276.15717	15983
276.17822	15970
276.19931	15949
276.22037	15922
276.24146	15843
276.26251	15872
276.2836	16009
276.30469	16107
276.32574	16137
276.34683	16260
276.36789	16427
276.38898	16493
276.41003	16399
276.43112	16405
276.45218	16345
276.47327	16276
276.49432	16243
276.51541	16309
276.53647	16391
276.55756	16446
276.57861	16439
276.5997	16434
276.62076	16490
276.64182	16440
276.6629	16458
276.68396	16502
276.70505	16630
276.7261	16541
276.74719	16499
276.76825	16482
276.78931	16583
276.81039	16656
276.83145	16659
276.85251	16627
276.8736	16746
276.89465	16662
276.91574	16592
276.9368	16532
276.95786	16638
276.97891	16684
277	16785
277.02106	16761
277.04211	16852
277.0632	16938
277.08426	16992
277.10532	17051
277.1264	17091
277.14746	17048
277.16852	17004
277.18958	16988
277.21066	17007
277.23172	16965
277.25278	16922
277.27383	17088
277.29489	17090
277.31598	17143
277.33704	17116
277.35809	17040
277.37915	17114
277.40021	17117
277.42126	17211
277.44235	17471
277.46341	17649
277.48447	17658
277.50552	17552
277.52658	17580
277.54764	17599
277.5687	17621
277.58978	17601
277.61084	17610
277.6319	17647
277.65295	17638
277.67401	17608
277.69507	17506
277.71613	17471
277.73718	17409
277.75824	17547
277.7793	17749
277.80035	17845
277.82141	17973
277.84247	17811
277.86353	17809
277.88458	17802
277.90564	17987
277.9267	18049
277.94775	18181
277.96881	18297
277.98987	18358
278.01093	18316
278.03198	18283
278.05304	18373
278.0741	18370
278.09515	18371
278.11621	18462
278.13727	18414
278.15833	18384
278.17935	18332
278.20041	18275
278.22147	18276
278.24252	18254
278.26358	18280
278.28464	18281
278.30569	18300
278.32672	18203
278.34778	18214
278.36884	18205
278.38989	18370
278.41095	18483
278.43201	18482
278.45303	18705
278.47409	18756
278.49515	18703
278.5162	18655
278.53723	18635
278.55829	18571
278.57935	18464
278.6004	18355
278.62143	18312
278.64249	18322
278.66354	18147
278.6846	18094
278.70563	18120
278.72668	18193
278.74774	18311
278.76877	18278
