Date and Time:                Tue Jan 31 15:16:20.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              254
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
254.95302	15045
254.9742	15002
254.99536	14996
255.01654	14903
255.03772	14877
255.05888	14984
255.08006	15028
255.10123	15106
255.12241	15125
255.14357	15148
255.16475	15131
255.18591	15128
255.20709	15095
255.22826	15118
255.24942	15207
255.2706	15215
255.29176	15247
255.31294	15245
255.33411	15130
255.35527	15153
255.37645	15223
255.39761	15313
255.41878	15313
255.43996	15312
255.46112	15380
255.48228	15419
255.50345	15426
255.52463	15465
255.54579	15353
255.56696	15224
255.58812	15194
255.60928	15074
255.63046	14986
255.65163	14961
255.67279	14937
255.69395	14902
255.71512	14976
255.73628	15060
255.75745	15125
255.77861	15069
255.79977	15152
255.82094	15139
255.8421	15092
255.86327	15141
255.88443	15279
255.90559	15397
255.92676	15496
255.94792	15459
255.96909	15494
255.99025	15620
256.01141	15703
256.03256	15711
256.05374	15749
256.07489	15778
256.09607	15708
256.11722	15561
256.1384	15586
256.15955	15605
256.18069	15649
256.20187	15650
256.22302	15770
256.2442	15933
256.26535	16030
256.2865	15882
256.30768	15917
256.32883	15935
256.34998	16020
256.37115	16163
256.3923	16312
256.41345	16355
256.43463	16447
256.45578	16382
256.47693	16419
256.49808	16346
256.51926	16309
256.54041	16332
256.56155	16414
256.5827	16462
256.60388	16405
256.62503	16402
256.64618	16425
256.66733	16490
256.68851	16459
256.70966	16549
256.7308	16495
256.75195	16490
256.7731	16464
256.79428	16421
256.81543	16409
256.83658	16475
256.85773	16494
256.87888	16640
256.90002	16736
256.9212	16854
256.94235	16846
256.9635	16795
256.98465	16786
257.0058	16762
257.02695	16760
257.0481	16832
257.06924	16992
257.09039	17009
257.11154	17068
257.13272	17039
257.15387	17070
257.17502	17100
257.19617	17064
257.21732	17063
257.23846	17017
257.25961	17039
257.28076	17088
257.30191	17138
257.32306	17179
257.34421	17104
257.36536	17074
257.38651	16988
257.40765	17193
257.4288	17359
257.44995	17446
257.4711	17329
257.49222	17323
257.51337	17280
257.53452	17282
257.55566	17494
257.57681	17555
257.59796	17721
257.61911	17804
257.64026	17765
257.66141	17810
257.68256	17777
257.70367	17859
257.72482	17934
257.74597	17989
257.76712	18087
257.78827	18021
257.80942	18000
257.83057	17929
257.85168	17931
257.87283	17879
257.89398	17810
257.91513	17778
257.93625	17873
257.9574	17859
257.97855	17863
257.99969	17956
258.02084	17982
258.04196	18008
258.06311	18115
258.08426	18257
258.10538	18310
258.12653	18289
258.14767	18294
258.16882	18398
258.18994	18511
258.21109	18435
258.23224	18397
258.25336	18463
258.27451	18476
258.29565	18432
258.31677	18242
258.33792	18280
258.35907	18394
258.38019	18468
258.40134	18482
258.42245	18524
258.4436	18501
258.46475	18433
258.48587	18415
258.50702	18512
258.52814	18595
258.54929	18640
258.57043	18745
258.59155	18784
258.6127	18769
258.63382	18634
258.65497	18698
258.67609	18722
258.69724	18745
258.71835	18823
258.7395	18877
258.76062	18896
258.78177	18930
258.80289	18819
258.82404	18909
258.84515	19100
258.8663	19052
258.88742	19173
258.90854	19295
258.92969	19242
258.95081	19249
258.97195	19239
258.99307	19301
259.01422	19474
259.03534	19644
259.05646	19718
259.07761	19704
259.09872	19800
259.11984	19983
259.14099	20003
259.16211	19981
259.18323	19932
259.20438	19978
259.22549	19971
259.24661	19930
259.26776	20077
259.28888	20015
259.31	20068
259.33115	19864
259.35226	19824
259.37338	19906
259.3945	20084
259.41565	20273
259.43677	20316
259.45789	20257
259.479	20196
259.50015	20285
259.52127	20514
259.54239	20538
259.56351	20551
259.58466	20559
259.60577	20593
259.62689	20605
259.64801	20566
259.66913	20517
259.69025	20629
259.7114	20642
259.73251	20641
259.75363	20595
259.77475	20795
259.79587	20904
259.81699	20944
259.8381	20950
259.85922	21070
259.88037	21081
259.90149	20995
259.92261	20916
259.94373	20828
259.96484	20801
259.98596	20877
260.00708	21019
260.0282	21109
260.04932	21245
260.07043	21189
260.09155	21128
260.11267	21097
260.13379	21075
260.15491	21260
260.17603	21336
260.19714	21561
260.21826	21663
260.23938	21685
260.2605	21545
260.28162	21662
260.30273	21838
260.32385	21846
260.34497	21921
260.36609	21845
260.38721	21931
260.40829	21973
260.42941	21890
260.45053	21763
260.47165	21870
260.49277	21910
260.51389	22019
260.535	22077
260.55612	22364
260.57721	22324
260.59833	22324
260.61945	22393
260.64056	22469
260.66168	22428
260.68277	22535
260.70389	22527
260.72501	22611
260.74612	22592
260.76724	22529
260.78833	22587
260.80945	22606
260.83057	22523
260.85168	22614
260.87277	22751
260.89389	22728
260.91501	22633
260.93613	22549
260.95721	22552
260.97833	22534
260.99945	22692
261.02054	22671
261.04166	22754
261.06277	22755
261.08386	22662
261.10498	22593
261.1261	22668
261.14719	22728
261.1683	22754
261.18939	22790
261.21051	22843
261.23163	22980
261.25272	22973
261.27383	23003
261.29492	22938
261.31604	22839
261.33716	22750
261.35825	22571
261.37936	22460
261.40045	22396
261.42157	22380
261.44266	22475
261.46378	22623
261.48486	22634
261.50598	22567
261.52707	22554
261.54819	22486
261.56927	22446
261.59039	22542
261.61148	22864
261.6326	23042
261.65369	23255
261.6748	23251
261.69589	23114
261.71701	23215
261.7381	23279
261.75919	23314
261.7803	23393
261.80139	23422
261.82251	23363
261.8436	23372
261.86469	23123
261.8858	22975
261.90689	23010
261.92798	22951
261.9491	23253
261.97018	23373
261.99127	23542
262.01239	23465
262.03348	23393
262.05457	23283
262.07568	23381
262.09677	23650
262.11786	23804
262.13895	23888
262.16006	24114
262.18115	24024
262.20224	23995
262.22336	24012
262.24445	23959
262.26553	23950
262.28662	23962
262.30771	23999
262.32883	24006
262.34991	23954
262.371	23966
262.39209	23930
262.41318	24037
262.4343	24097
262.45538	23987
262.47647	23996
262.49756	23993
262.51865	23894
262.53973	23906
