Date and Time:                Thu Sep 8 16:58:50.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              277
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
282.40649	316
282.42752	313
282.44852	314
282.46951	314
282.49054	305
282.51154	314
282.53253	310
282.55353	306
282.57455	308
282.59555	308
282.61655	318
282.63757	310
282.65857	309
282.67957	309
282.70056	305
282.72159	307
282.74258	311
282.76358	310
282.78458	314
282.80557	300
282.8266	317
282.8476	314
282.86859	311
282.88959	308
282.91058	311
282.93161	309
282.95261	308
282.9736	311
282.9946	303
283.01559	315
283.03659	309
283.05759	310
283.07858	306
283.09961	308
283.12061	308
283.1416	311
283.1626	313
283.18359	313
283.20459	305
283.22559	306
283.24658	309
283.26758	307
283.28857	311
283.30957	307
283.33057	305
283.35156	303
283.37256	303
283.39355	307
283.41455	304
283.43555	308
283.45654	306
283.47754	310
283.49854	305
283.51953	306
283.54053	316
283.56152	303
283.58252	308
283.60352	307
283.62451	310
283.64548	308
283.66647	305
283.68747	305
283.70847	306
283.72946	310
283.75046	305
283.77145	307
283.79242	312
283.81342	312
283.83441	305
283.85541	305
283.8764	309
283.8974	311
283.91837	309
283.93936	308
283.96036	313
283.98135	308
284.00232	315
284.02332	312
284.04431	308
284.06531	305
284.08627	306
284.10727	304
284.12827	307
284.14926	310
284.17023	302
284.19122	313
284.21222	303
284.23318	308
284.25418	314
284.27518	303
284.29614	309
284.31714	304
284.33813	308
284.3591	313
284.3801	308
284.40106	316
284.42206	311
284.44305	312
284.46402	308
284.48502	302
284.50598	308
284.52698	308
284.54794	310
284.56894	307
284.58994	306
284.6109	309
284.6319	312
284.65286	311
284.67386	306
284.69482	309
284.71582	300
284.73679	306
284.75778	312
284.77875	305
284.79971	309
284.82071	317
284.84167	306
284.86267	301
284.88364	302
284.90463	305
284.9256	309
284.94656	307
284.96756	310
284.98853	305
285.00952	311
285.03049	311
285.05145	308
285.07245	309
285.09341	307
285.11438	309
285.13538	313
285.15634	309
285.17731	317
285.1983	309
285.21927	307
285.24023	303
