Date and Time:                Thu Oct 27 15:36:18.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              283.2
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
276.1199	303
276.14099	302
276.16211	309
276.18323	310
276.20432	300
276.22543	308
276.24655	297
276.26764	312
276.28876	309
276.30988	300
276.33096	305
276.35208	309
276.37317	305
276.39429	303
276.41541	309
276.43649	307
276.45761	314
276.4787	306
276.49982	313
276.5209	301
276.54202	309
276.56311	311
276.58423	303
276.60532	302
276.62643	308
276.64752	306
276.66864	304
276.68973	310
276.71085	307
276.73193	311
276.75305	306
276.77414	310
276.79526	307
276.81635	306
276.83746	310
276.85855	307
276.87967	309
276.90076	305
276.92184	306
276.94296	303
276.96405	309
276.98517	312
277.00626	307
277.02734	308
277.04846	309
277.06955	311
277.09067	307
277.11176	302
277.13284	310
277.15396	306
277.17505	306
277.19614	306
277.21725	303
277.23834	305
277.25943	306
277.28052	306
277.30164	310
277.32272	305
277.34381	309
277.36493	309
277.38602	308
277.4071	310
277.42819	301
277.44931	306
277.4704	303
277.49149	306
277.51257	313
277.53366	304
277.55478	300
277.57587	303
277.59695	302
277.61804	307
277.63913	302
277.66025	309
277.68134	308
277.70242	312
277.72351	301
277.7446	313
277.76569	306
277.78677	309
277.80789	306
277.82898	307
277.85007	303
277.87115	309
277.89224	307
277.91333	304
277.93442	310
277.95551	310
277.97659	304
277.99768	306
278.01877	312
278.03986	311
278.06094	304
278.08203	308
278.10312	308
278.12424	307
278.14532	307
278.16641	306
278.1875	311
278.20856	305
278.22964	314
278.25073	307
278.27182	305
278.29291	304
278.314	307
278.33508	310
278.35617	310
278.37726	312
278.39835	311
278.41943	309
278.44052	313
278.46161	309
278.4827	309
278.50378	312
278.52484	311
278.54593	310
278.56702	312
278.5881	305
278.60919	305
278.63028	306
278.65137	312
278.67242	306
278.69351	305
278.7146	308
278.73569	309
278.75677	309
278.77783	307
278.79892	311
278.82001	312
278.84109	310
278.86215	310
278.88324	314
278.90433	307
278.92542	310
278.94647	304
278.96756	308
278.98865	306
279.00974	306
279.03079	314
279.05188	299
279.07297	307
279.09402	306
279.11511	309
279.1362	311
279.15726	309
279.17834	307
279.19943	314
279.22049	313
279.24158	314
279.26266	309
279.28372	314
279.30481	311
279.32587	309
279.34695	313
279.36804	310
279.3891	316
279.41019	311
279.43124	313
279.45233	312
279.47342	308
279.49448	304
279.51556	313
279.53662	319
279.55771	317
279.57877	311
279.59985	313
279.62091	318
279.642	308
279.66306	313
279.68414	306
279.7052	313
279.72629	319
279.74734	309
279.76843	314
279.78949	311
279.81055	320
279.83163	317
279.85269	311
279.87378	317
279.89484	307
279.91592	318
279.93698	319
279.95804	318
279.97913	309
280.00018	312
280.02124	314
280.04233	315
280.06339	312
280.08444	312
280.10553	312
280.12659	322
280.14764	320
280.16873	316
280.18979	323
280.21085	316
280.23193	316
280.25299	315
280.27405	314
280.29514	320
280.31619	316
280.33725	308
280.35831	322
280.37939	321
280.40045	323
280.42151	317
280.44257	321
280.46362	317
280.48471	316
280.50577	316
280.52682	322
280.54788	321
280.56894	316
280.59003	319
280.61108	321
280.63214	324
280.6532	318
280.67426	319
280.69531	323
