# wl center%tx left%tx right%tx top%tx bottom%tx
 260.46672  0.00047 -0.00189 -0.00472 -0.00094 -0.00661
 260.48795  0.00612  0.00330  0.00424 -0.00236  0.00801
 260.50914  0.00330  0.00330  0.00659  0.00000  0.00141
 260.53037 -0.00704 -0.00892 -0.00610 -0.00610  0.00000
 260.55159  0.00280  0.00280  0.00093  0.00327 -0.00093
 260.57278  0.00047 -0.00374  0.00094  0.00000 -0.00094
 260.59401  0.01031  0.00141  0.00515  0.00609  0.00703
 260.61523 -0.00424 -0.01082 -0.00659 -0.00612  0.00094
 260.63643  0.00566  0.00141  0.00000  0.00330  0.00707
 260.65765  0.00235 -0.00141  0.00094  0.00188 -0.00047
 260.67885  0.00660 -0.00613  0.00142  0.00189  0.00519
 260.70007  0.00749  0.00984  0.00328  0.00328  0.00703
 260.72129  0.00326 -0.00093  0.00047  0.00279  0.00512
 260.74249 -0.00046 -0.00325 -0.00232  0.00093 -0.00186
 260.76371  0.00419  0.00605  0.00465  0.00372  0.00698
 260.78491  0.00279  0.00046  0.00139  0.00511  0.00232
 260.80613 -0.00046  0.00093 -0.00324  0.00093 -0.00185
 260.82736  0.00092 -0.00138  0.00691  0.00507  0.00784
 260.84855  0.00736  0.00322  0.00368  0.00552  0.00598
 260.86977 -0.00229 -0.00275 -0.00046  0.00183  0.00000
 260.89097  0.00820  0.00137  0.00228  0.00501  0.00592
 260.91219 -0.00045 -0.00136  0.00045 -0.00227  0.00000
 260.93339 -0.00546 -0.00455 -0.00045 -0.00091  0.00182
 260.95461  0.00091  0.00501 -0.00091 -0.00410  0.00228
 260.97580  0.00046  0.00365  0.00456  0.00182  0.00319
 260.99703  0.01186  0.00137  0.00411  0.00639  0.00958
 261.01825  0.00000 -0.00091 -0.00547 -0.00182  0.00319
 261.03945 -0.00090 -0.00045  0.00000  0.00316 -0.00678
 261.06067  0.00542  0.00226 -0.00271  0.00181  0.00497
 261.08187  0.00999  0.00454  0.00409  0.00636  0.00409
 261.10309  0.00545  0.00182  0.00091  0.00182  0.00363
 261.12428 -0.00045 -0.00635  0.00453  0.00408  0.00272
 261.14548 -0.00090 -0.00540 -0.00180 -0.00180 -0.00630
 261.16670  0.00270  0.00494  0.00135  0.00225  0.00180
 261.18790  0.00900  0.00495  0.00540  0.00495  0.00405
 261.20912 -0.00091  0.00000  0.00272 -0.00544 -0.00362
 261.23032  0.00226  0.00496  0.00180  0.00451  0.00045
 261.25154  0.00812  0.00045  0.00135 -0.00045  0.00271
 261.27273  0.00452  0.00271 -0.00181  0.00271  0.00045
 261.29396 -0.00045 -0.00271  0.00226  0.00406 -0.00045
